,ID,DEPT,GR,RD,DTP,DEN,PE,WQFM,WCARB,WCLAY,WPYR
129,129,2125.8,172.4938,4.2933,274.6509,2696.4724,4.5262,0.3151,0.0279,0.657,0
130,130,2126,164.5546,4.1613,278.4141,2693.3804,4.5697,0.3225,0.0175,0.66,0
131,131,2126.2,161.723,4.1753,278.5139,2703.895,4.5103,0.3527,0.0283,0.619,0
132,132,2126.4,165.3995,4.2071,278.462,2711.0581,4.4316,0.3533,0.024,0.6228,0
133,133,2126.6,165.5304,4.0862,284.8779,2701.4998,4.4167,0.38,0.0017,0.6182,0
134,134,2126.8,161.2318,4.1259,284.7549,2692.605,4.4032,0.3953,0.0157,0.5889,0
135,135,2127,164.3851,3.8907,285.3276,2688.6729,4.3971,0.3798,0.0772,0.541,0.0019
136,136,2127.2,166.0618,3.7635,284.4672,2681.6089,4.4442,0.3653,0.1187,0.5158,0
137,137,2127.4,165.3622,3.8658,284.6269,2678.782,4.4851,0.3756,0.1182,0.5061,0
138,138,2127.6,164.993,3.8583,284.5574,2688.7388,4.4689,0.4044,0.1014,0.4941,0
139,139,2127.8,167.6715,3.8142,284.8045,2704.9009,4.4435,0.4506,0.0569,0.4925,0
140,140,2128,176.7094,3.9417,285.0173,2709.1147,4.4651,0.4558,0.0254,0.5188,0
141,141,2128.2,175.8457,4.0378,286.3166,2699.6621,4.5155,0.4632,0,0.5368,0
142,142,2128.4,172.2946,4.0426,288.2913,2687.6494,4.5639,0.4462,0,0.5354,0.0185
143,143,2128.6,166.8046,3.969,288.4531,2687.6558,4.5462,0.395,0,0.5672,0.0377
144,144,2128.8,169.8192,3.8626,289.1925,2690.8767,4.4942,0.3753,0,0.5998,0.0249
145,145,2129,177.4233,3.7623,289.528,2692.5559,4.4669,0.4043,0,0.5929,0.0028
146,146,2129.2,176.3997,3.728,287.6827,2691.1582,4.4936,0.4312,0,0.5688,0
147,147,2129.4,170.3691,3.7101,282.5415,2688.0718,4.5255,0.4265,0,0.5735,0
148,148,2129.6,170.1627,3.6615,286.1946,2682.3689,4.5298,0.4325,0,0.5675,0
149,149,2129.8,169.8289,3.6688,282.6742,2687.5266,4.4857,0.3944,0.0195,0.5861,0
150,150,2130,168.8171,3.8004,285.6406,2689.136,4.4977,0.3454,0.0899,0.5648,0
151,151,2130.2,168.4585,3.8799,285.3286,2691.7666,4.5116,0.368,0.1212,0.5108,0
152,152,2130.4,168.9635,3.893,281.9648,2694.1133,4.5097,0.3832,0.1061,0.4999,0.0108
